id,title,description,link,image_link,condition,availability,price,google_product_category,brand
329,"Hạt giống Rau Dền","Hạt giống Rau Dền",https://hatgionglamson.com/san-pham/hat-giong-rau-den-329.html,/asset/upload/image/hat-giong-rau-den.jpg?v=20190410,New,"In Stock","20,000 VND",,
328,"Hạt Giống Rau Đay Đỏ","Hạt Giống Rau Đay Đỏ",https://hatgionglamson.com/san-pham/hat-giong-rau-day-do-328.html,/asset/upload/image/hat-giong-rau-day.jpg?v=20190410,New,"In Stock","20,000 VND",,
327,"Hạt Giống Xà Lách Xoăn","Hạt Giống Xà Lách Xoăn",https://hatgionglamson.com/san-pham/hat-giong-xa-lach-xoan-327.html,,New,"In Stock","20,000 VND",,
326,"Hạt Giống Bí Nụ","Hạt Giống Bí Nụ",https://hatgionglamson.com/san-pham/hat-giong-bi-nu-326.html,/asset/upload/image/hat-giong-bi-nu.jpg?v=20190410,New,"In Stock","20,000 VND",,
325,"Hạt Giống Rau Thơm Sản ( É Trắng ","Hạt Giống Rau Thơm Sản ( É Trắng ",https://hatgionglamson.com/san-pham/hat-giong-rau-thom-san-(-e-trang--325.html,/asset/upload/image/hung-trang.jpg?v=20190410,New,"In Stock","20,000 VND",,
324,"Hạt Giống Rau Dền Đỏ","Hạt Giống Rau Dền Đỏ",https://hatgionglamson.com/san-pham/hat-giong-rau-den-do-324.html,/asset/upload/image/hat-giong-rau-den1.jpg?v=20190410,New,"In Stock","20,000 VND",,
323,"Hạt giống Hành Lá","Hạt giống Hành Lá",https://hatgionglamson.com/san-pham/hat-giong-hanh-la-323.html,/asset/upload/image/hat-giong-hanh-la.jpg?v=20190410,New,"In Stock","18,000 VND",,
322,"Hạt Giống Rau Đay Xanh","Hạt Giống Rau Đay Xanh",https://hatgionglamson.com/san-pham/hat-giong-rau-day-xanh-322.html,/asset/upload/image/rau-day-xanh.jpg?v=20190410,New,"In Stock","20,000 VND",,
321,"Hạt Giống Su Hào Xanh","Hạt Giống Su Hào Xanh",https://hatgionglamson.com/san-pham/hat-giong-su-hao-xanh-321.html,/asset/upload/image/hat-giong-su-hao-xanh.jpg?v=20190410,New,"In Stock","18,000 VND",,
320,"Hạt Giống Đu Đủ Ruột Vàng Trái Dài Phuket","Hạt Giống Đu Đủ Ruột Vàng Trái Dài Phuket",https://hatgionglamson.com/san-pham/hat-giong-du-du-ruot-vang-trai-dai-phuket-320.html,/asset/upload/image/hat-giong-du-du-ruot-do-sieu-dai-phuket.jpg?v=20190410,New,"In Stock","38,000 VND",,
319,"Hạt Giống Đu Đủ Vỏ Vàng","Hạt Giống Đu Đủ Vỏ Vàng",https://hatgionglamson.com/san-pham/hat-giong-du-du-vo-vang-319.html,/asset/upload/image/hat-giong-du-du-da-vang-1.jpg?v=20190410,New,"In Stock","35,000 VND",,
318,"Hạt Giống Dưa Lê Vỏ Vàng F1","Hạt Giống Dưa Lê Vỏ Vàng F1",https://hatgionglamson.com/san-pham/hat-giong-dua-le-vo-vang-f1-318.html,/asset/upload/image/hat-giong-dua-le-vo-vang-2.jpg?v=20190410,New,"In Stock","35,000 VND",,
317,"Hạt Giống Bắp Mỹ | Bắp Ngọt","Hạt Giống Bắp Mỹ | Bắp Ngọt",https://hatgionglamson.com/san-pham/hat-giong-bap-my-|-bap-ngot-317.html,/asset/upload/image/bap-my.jpg?v=20190410,New,"In Stock","30,000 VND",,
316,"Hạt Giống Bắp Nếp F1","Hạt Giống Bắp Nếp F1",https://hatgionglamson.com/san-pham/hat-giong-bap-nep-f1-316.html,/asset/upload/image/bap-nep-f1.jpg?v=20190410,New,"In Stock","30,000 VND",,
315,"Hạt Giống Dưa Hấu Khổng Lồ Big Daddy","Hạt Giống Dưa Hấu Khổng Lồ Big Daddy",https://hatgionglamson.com/san-pham/hat-giong-dua-hau-khong-lo-big-daddy-315.html,/asset/upload/image/dua-hau-khong-lo.jpg?v=20190410,New,"In Stock","30,000 VND",,
